img_no 	 min_val 	max_val 	 ang_x 	 ang_y 	 ang_z 
1 	 -0.000298 	 1.099254 	 -0.608370 	 1.077907 	 -2.013277 
2 	 -0.000306 	 1.186704 	 -0.103979 	 -0.729266 	 0.485707 
3 	 -0.000390 	 1.244198 	 -2.562404 	 -0.591529 	 -0.090394 
1 	 -0.000298 	 1.099254 	 -0.608370 	 -0.103979 	 -2.562404 
2 	 -0.000306 	 1.186704 	 1.077907 	 -0.729266 	 -0.591529 
3 	 -0.000390 	 1.244198 	 -2.013277 	 0.485707 	 -0.090394 
4 	 -0.000230 	 1.215578 	 -0.023769 	 -0.137052 	 2.450787 
5 	 -0.000467 	 1.148866 	 1.734224 	 -0.712687 	 -0.351247 
6 	 -0.000212 	 1.362205 	 -0.420035 	 -1.161062 	 -0.281566 
7 	 -0.000756 	 1.502693 	 1.932138 	 1.168066 	 0.047069 
8 	 -0.000681 	 1.301015 	 2.780215 	 -0.542530 	 -2.613760 
9 	 -0.000202 	 1.182600 	 -0.450799 	 -0.039480 	 -0.935975 
10 	 -0.000561 	 1.356978 	 0.135181 	 0.085964 	 1.299452 
11 	 -0.000358 	 1.410702 	 2.466960 	 -0.784805 	 -2.255590 
12 	 -0.000276 	 1.503036 	 -1.084524 	 0.459410 	 -0.791914 
13 	 -0.000245 	 1.416092 	 -1.577169 	 0.575377 	 -1.186188 
14 	 -0.001036 	 1.297170 	 2.425799 	 -0.989107 	 1.291865 
15 	 -0.000516 	 1.342882 	 2.327889 	 -0.272391 	 -0.188200 
16 	 -0.000377 	 1.178323 	 -2.912502 	 0.204320 	 -2.889228 
17 	 -0.000530 	 1.264561 	 -2.863922 	 -0.416660 	 -1.872649 
18 	 -0.000325 	 1.184100 	 -1.306874 	 -0.706091 	 -1.044251 
19 	 -0.000798 	 1.443291 	 -1.653644 	 0.804121 	 -1.798411 
20 	 -0.001168 	 1.197669 	 -0.871751 	 0.779081 	 -1.475507 
21 	 -0.000651 	 1.412308 	 -2.316436 	 0.995992 	 -1.573884 
22 	 -0.000335 	 1.193172 	 -0.972731 	 0.343951 	 -0.439504 
23 	 -0.000337 	 1.141119 	 2.496969 	 0.545315 	 0.896633 
24 	 -0.000353 	 1.308493 	 0.429550 	 -0.612209 	 0.705401 
25 	 -0.000294 	 1.413991 	 2.199196 	 0.811948 	 0.165628 
26 	 -0.000799 	 1.357041 	 0.641935 	 -0.244743 	 0.363874 
27 	 -0.000273 	 1.449113 	 -1.951997 	 -0.625946 	 -0.854652 
28 	 -0.001094 	 1.375118 	 -2.328486 	 -0.137009 	 2.858577 
29 	 -0.000288 	 1.356910 	 1.504160 	 0.406515 	 -1.188837 
30 	 -0.000146 	 1.367203 	 2.275698 	 0.916886 	 0.019380 
31 	 -0.000351 	 1.342548 	 2.532913 	 1.123944 	 2.646488 
32 	 -0.000266 	 1.377186 	 -1.531292 	 0.376368 	 -0.869952 
33 	 -0.000186 	 1.253254 	 2.158572 	 -0.490345 	 0.298385 
34 	 -0.000382 	 1.436338 	 1.784436 	 0.660720 	 2.212668 
35 	 -0.000413 	 1.301009 	 0.003804 	 -0.216028 	 -0.384730 
36 	 -0.000277 	 1.330864 	 1.030271 	 0.283855 	 0.761781 
37 	 -0.000404 	 1.459072 	 -3.012400 	 1.200369 	 0.669473 
38 	 -0.000530 	 1.302466 	 -0.045550 	 0.100786 	 2.206683 
39 	 -0.000519 	 1.127881 	 0.417934 	 0.566631 	 1.399302 
40 	 -0.000292 	 1.243611 	 -0.054652 	 0.558243 	 0.016484 
41 	 -0.000405 	 1.272660 	 3.051404 	 0.168558 	 -2.115905 
42 	 -0.000195 	 1.180719 	 3.015979 	 0.344623 	 0.441334 
43 	 -0.000418 	 1.293540 	 -2.610542 	 0.253386 	 -1.523847 
44 	 -0.000289 	 1.154055 	 2.764619 	 0.123196 	 1.820200 
45 	 -0.000418 	 1.277417 	 2.063373 	 -1.503808 	 -2.995501 
46 	 -0.000339 	 1.224470 	 0.715684 	 0.562608 	 -2.963501 
47 	 -0.000352 	 1.240190 	 -2.835977 	 -0.146812 	 0.712663 
48 	 -0.000271 	 1.341127 	 -3.121090 	 -1.045370 	 2.985828 
49 	 -0.000442 	 1.287031 	 -2.298922 	 0.489338 	 -0.308896 
50 	 -0.000317 	 1.186075 	 2.148113 	 -0.060699 	 0.425182 
51 	 -0.000338 	 1.236900 	 1.640171 	 0.263521 	 2.209428 
52 	 -0.000482 	 1.203133 	 -2.967135 	 0.172496 	 0.521026 
53 	 -0.000232 	 1.131080 	 -1.920374 	 -1.238609 	 2.966717 
54 	 -0.000228 	 1.309354 	 2.810125 	 1.017890 	 -3.108127 
55 	 -0.000733 	 1.297068 	 -2.870879 	 0.125541 	 2.406379 
56 	 -0.000680 	 1.126624 	 -1.255351 	 -1.155342 	 1.998435 
57 	 -0.001058 	 1.284430 	 -1.831510 	 0.892622 	 -2.200750 
58 	 -0.000388 	 1.157463 	 -2.829621 	 -0.446678 	 -3.107198 
59 	 -0.000311 	 1.306292 	 -1.179277 	 1.067045 	 2.074533 
60 	 -0.000305 	 1.475447 	 -0.096738 	 -1.392403 	 0.279009 
61 	 -0.000381 	 1.217420 	 -1.040237 	 -0.837184 	 -1.145879 
62 	 -0.000382 	 1.128777 	 -0.594560 	 -0.269696 	 -3.027736 
63 	 -0.000301 	 1.252856 	 -1.191260 	 -0.020604 	 1.407114 
64 	 -0.000504 	 1.251171 	 -0.421777 	 0.183253 	 -2.339514 
65 	 -0.000303 	 1.136976 	 0.678276 	 -0.120305 	 -0.432310 
66 	 -0.000230 	 1.429044 	 -1.689541 	 -1.050752 	 -2.409678 
67 	 -0.000405 	 1.084218 	 -0.551068 	 0.169082 	 1.656670 
68 	 -0.000330 	 1.345136 	 1.608756 	 -0.299719 	 -1.904714 
69 	 -0.000784 	 1.301591 	 -2.078987 	 -0.001527 	 -0.375719 
70 	 -0.000412 	 1.394949 	 1.251418 	 0.597508 	 1.212469 
71 	 -0.000925 	 1.167450 	 2.935311 	 0.728246 	 1.272969 
72 	 -0.000165 	 1.277760 	 3.099511 	 -0.694007 	 2.182796 
73 	 -0.000302 	 1.071665 	 2.896975 	 0.307329 	 -0.274387 
74 	 -0.000171 	 1.279972 	 -3.001527 	 -0.708785 	 2.721653 
75 	 -0.000434 	 1.119145 	 1.982974 	 0.008545 	 2.385021 
76 	 -0.000605 	 1.177016 	 0.687561 	 0.350509 	 -0.346928 
77 	 -0.000315 	 1.389255 	 -1.828931 	 -0.284863 	 -0.098206 
78 	 -0.000588 	 1.292606 	 1.611648 	 -1.414706 	 -0.024135 
79 	 -0.000481 	 1.369196 	 -2.692111 	 -0.069608 	 -0.831132 
80 	 -0.000721 	 1.346817 	 2.886921 	 -0.439546 	 -1.015105 
81 	 -0.000216 	 1.251867 	 0.543798 	 0.324486 	 -2.078241 
82 	 -0.000783 	 1.479559 	 0.750423 	 -1.161169 	 2.263613 
83 	 -0.000171 	 1.253016 	 1.093689 	 -1.186265 	 2.784385 
84 	 -0.000348 	 1.370363 	 -0.269280 	 -0.679049 	 -0.756306 
85 	 -0.000528 	 1.504635 	 2.058082 	 -0.453830 	 -2.338928 
86 	 -0.000277 	 1.256004 	 -2.890007 	 0.784769 	 2.369248 
87 	 -0.001493 	 1.349634 	 -1.097311 	 -0.612307 	 -1.367489 
88 	 -0.000530 	 1.202008 	 1.777835 	 -0.576130 	 -3.115177 
89 	 -0.000260 	 1.223893 	 -2.687759 	 0.241472 	 -2.701083 
90 	 -0.000416 	 1.225121 	 -2.862477 	 1.108524 	 -1.163071 
91 	 -0.000355 	 1.152728 	 -1.788378 	 0.518600 	 -2.562786 
92 	 -0.000472 	 1.285234 	 -2.796425 	 0.336800 	 2.254826 
93 	 -0.000240 	 1.324235 	 -1.879134 	 -0.761927 	 -0.637498 
94 	 -0.000350 	 1.352096 	 1.063938 	 -0.395120 	 -1.199533 
95 	 -0.000288 	 1.195253 	 2.307846 	 -1.058607 	 -0.936493 
96 	 -0.000304 	 1.120965 	 0.887857 	 -0.055437 	 2.875165 
97 	 -0.000552 	 1.167624 	 2.681581 	 0.250796 	 -1.892679 
98 	 -0.000191 	 1.236771 	 0.403933 	 0.006689 	 0.978544 
99 	 -0.000347 	 1.153500 	 2.214047 	 -0.169090 	 0.526652 
100 	 -0.000252 	 1.277483 	 0.759709 	 1.189964 	 -0.366888 
101 	 -0.000341 	 1.182376 	 -1.973878 	 -0.372531 	 2.708052 
102 	 -0.000330 	 1.506833 	 0.351902 	 1.324554 	 0.565524 
103 	 -0.000552 	 1.360663 	 -2.653301 	 0.685945 	 1.461858 
104 	 -0.000694 	 1.164506 	 2.831456 	 0.634319 	 1.278213 
105 	 -0.000299 	 1.376329 	 -2.410844 	 -1.014578 	 -0.681431 
106 	 -0.000537 	 1.325062 	 -2.658001 	 0.957319 	 2.083287 
107 	 -0.000234 	 1.393348 	 -1.987091 	 -0.000396 	 -2.183656 
108 	 -0.000217 	 1.223765 	 -1.997244 	 0.848995 	 -2.622000 
109 	 -0.000650 	 1.381601 	 0.288875 	 -0.671245 	 -1.822676 
110 	 -0.000233 	 1.157503 	 3.078982 	 0.536983 	 -0.628990 
111 	 -0.000364 	 1.346619 	 0.209456 	 -0.825599 	 -0.332105 
112 	 -0.000494 	 1.296050 	 1.148159 	 -0.950100 	 -2.561443 
113 	 -0.000507 	 1.234692 	 0.242533 	 1.088910 	 1.519356 
114 	 -0.000320 	 1.238412 	 -0.292679 	 0.366231 	 1.913549 
115 	 -0.000152 	 1.255657 	 -0.560132 	 0.408106 	 -0.829628 
116 	 -0.000846 	 1.309055 	 -3.010295 	 0.024500 	 -0.507158 
117 	 -0.000349 	 1.154997 	 -0.912316 	 -0.487393 	 0.222457 
118 	 -0.000156 	 1.441869 	 -2.125443 	 -0.749936 	 1.010078 
119 	 -0.000369 	 1.348985 	 -2.667850 	 0.246681 	 -2.427042 
120 	 -0.000249 	 1.418047 	 -1.728565 	 0.937806 	 -0.257535 
121 	 -0.000660 	 1.306820 	 0.395813 	 0.051151 	 -0.154143 
122 	 -0.000395 	 1.349911 	 -1.864029 	 -0.618256 	 -0.584824 
123 	 -0.000380 	 1.317800 	 1.595511 	 -0.296482 	 -1.225769 
124 	 -0.000979 	 1.493243 	 -1.610211 	 0.338679 	 -1.796828 
125 	 -0.004100 	 1.364462 	 1.844885 	 -0.704785 	 1.497995 
126 	 -0.000200 	 1.474194 	 2.332761 	 -0.400018 	 0.963269 
127 	 -0.000412 	 1.076243 	 -0.567670 	 -0.556138 	 -1.478210 
128 	 -0.000343 	 1.296806 	 -2.770927 	 0.677796 	 1.791589 
129 	 -0.000210 	 1.193308 	 0.920296 	 -0.465792 	 -2.230923 
130 	 -0.000555 	 1.244957 	 -0.392544 	 0.693653 	 1.239433 
131 	 -0.000358 	 1.178662 	 1.512006 	 0.861558 	 -2.859108 
132 	 -0.000200 	 1.226495 	 2.302491 	 0.087328 	 -0.974937 
133 	 -0.000352 	 1.269841 	 0.516002 	 0.056837 	 -1.854328 
134 	 -0.000213 	 1.387109 	 -2.686635 	 -0.633679 	 0.214495 
135 	 -0.000642 	 1.115717 	 2.524165 	 -0.327715 	 1.526430 
136 	 -0.000493 	 1.318274 	 1.309284 	 0.427424 	 -2.852969 
137 	 -0.000778 	 1.108127 	 -0.547998 	 -0.271902 	 -1.401630 
138 	 -0.000182 	 1.416558 	 0.968152 	 0.276446 	 2.068039 
139 	 -0.000356 	 1.310683 	 2.089372 	 0.753806 	 -0.888325 
